name,state,description,tags
Study Abroad Scholarships (Scheduled Tribe),Madhya Pradesh,"Launched in 2003, the scheme ""Study Abroad Scholarships"" by the Tribal Affairs Department, Government of Madhya Pradesh covers tuition fees of 40,000 US Dollars per year, along with a living allowance of 9,000 US Dollars and a contingency allowance of 1,000 US Dollars.","['Abroad', 'Higher Education', 'Scheduled Tribe', 'Scholarships']"
Chief Minister's Building and Other Construction Workers Housing (Rural) Scheme,Madhya Pradesh,"Launched in 2013, the ""Chief Minister's Building and Other Construction Workers Housing (Rural) Scheme"" provides permanent houses to registered construction workers in rural areas of Madhya Pradesh.","['Construction', 'Financial Assistance', 'Housing', 'Labour', 'Worker']"
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Permanent Partial Disability,Bihar,"“Permanent Partial Disability” under the “Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana” launched by the Labour Resources Dept, Bihar, provides financial assistance of ₹37,500/- to the families of workers or craftsmen in case of permanent partial disablement.","['Craftsmen', 'Permanent Partial Disability', 'Social Security', 'Unorganised Worker']"
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Accidental Injuries,Bihar,"The component “Accidental Injuries” under the “Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana” launched by the Labour Resources Department, Bihar, provides financial assistance to the workers or craftsmen in case of accidental injuries.","['Accidental Injuries', 'Craftsmen', 'Medical Assistance', 'Social Security', 'Unorganised Worker']"
Chief Minister's Building and Other Construction Workers Urban Housing Scheme (MPBOCWWB),Madhya Pradesh,"The scheme was revised in 2018, the ""Chief Minister's Building and Other Construction Workers Urban Housing Scheme,"" to provide an additional ₹1,00,000 assistance to eligible construction workers in urban areas, along with grants from the Central and State Governments.","['Construction', 'Financial Assistance', 'Housing', 'Labour', 'Urban', 'Worker']"
Jharkhand Patrakar Samman Pension Niyamawali,Jharkhand,"The ""Jharkhand Patrakar Samman Pension Niyamawali"" aims to provide financial assistance to journalists who have served the state for an extended period. It ensures their well-being post-retirement and acknowledges their contribution to media and society.","['Financial Assistance', 'Journalist', 'Pension']"
Mukhyamantri Anusuchit Jaati Vishesh Pariyojana Vitt Poshan Yojana,Madhya Pradesh,"The scheme ""Mukhyamantri Anusuchit Jaati Vishesh Pariyojana Vitt Poshan Yojana"" under the Tribal Welfare and Scheduled Caste Department, Madhya Pradesh, aims to provide financial assistance for special project proposals received in the interest of the Scheduled Caste (SC) category.","['Assisted Enterprises', 'Development', 'Finance', 'Scheduled Caste']"
Jharkhand State Scheduled Tribe Post-Matric Scholarship Scheme,Jharkhand,"The ""Jharkhand State Scheduled Tribe Post-Matric Scholarship Scheme"" aims to promote higher education among scheduled tribe students in Jharkhand. The scheme provides financial assistance to students pursuing professional and academic courses at the post-matriculation level.","['Financial Assistance', 'Post-Matric', 'Scheduled Tribe', 'Scholarship']"
Junior Hostel (Scheduled Tribes),Madhya Pradesh,"Launched on 1st January 1966, the scheme ""Junior Hostel"" by the Tribal Welfare and Scheduled Caste (SC) Department, Government of Madhya Pradesh provides free accommodation and mess facilities to students studying in classes 6th to 8th.","['Education', 'Hostel', 'Scheduled Tribe', 'Student']"
Aahar Anudan Yojana,Madhya Pradesh,"The scheme ""Aahar Anudan Yojana"" provides monthly assistance of ₹1,000 to students, girls, and women from backward tribes like Baiga, Bharia, and Saharia. The scheme aims to combat malnutrition among special tribal families by ensuring access to nutritious food through financial assistance.","['Child Care', 'Financial Assistance', 'Food', 'Meal', 'Nutrition', 'Women']"
Incentive For The Simple Marriage (Scheduled Tribe),Karnataka,"The scheme ""Incentive for the Simple Marriage"" was launched by the Tribal Welfare Department, Government of Karnataka. The scheme provides an incentive of ₹50,000/- to ST individuals residing in Karnataka who marry another ST individual on or after 11th August 2015.","['Couple', 'Incentive', 'Marriage', 'Schedule Tribe', 'Spouse', 'ST']"
Mukhyamantri Nijee Nalkup Yojana,Bihar,The scheme provides financial assistance to support farmers in ensuring water availability through borewell construction and motor pump installation.,"['Agriculture', 'Borewell', 'Farmer', 'Irrigation']"
Senior Hostel (Scheduled Tribes),Madhya Pradesh,"Launched on 1st January 1966, the scheme ""Senior Hostel (Scheduled Tribes)"" by the Tribal Welfare and Scheduled Caste (SC) Department, Government of Madhya Pradesh provides free accommodation and mess facilities to students from studying in Class 9th to 12th in a government/recognized school.","['Hostel', 'Meal', 'Scheduled Tribe', 'Scholarship', 'Student']"
Guruji Student Credit Card (GSCC) Scheme,Jharkhand,"Under this scheme, a financial support initiative by the Jharkhand Government to help students pursue higher education without financial constraints. Under this scheme, eligible students can avail of education loans up to ₹15,00,000 at a subsidized 4% simple interest rate, with additional benefits.","['Higher Education', 'Interest Rate', 'Loan', 'Student']"
Study Abroad Scholarships (Scheduled Tribe),Madhya Pradesh,"Launched in 2003, the scheme ""Study Abroad Scholarships"" by the Tribal Affairs Department, Government of Madhya Pradesh covers tuition fees of 40,000 US Dollars per year, along with a living allowance of 9,000 US Dollars and a contingency allowance of 1,000 US Dollars.","['Abroad', 'Higher Education', 'Scheduled Tribe', 'Scholarships']"
Chief Minister's Building and Other Construction Workers Housing (Rural) Scheme,Madhya Pradesh,"Launched in 2013, the ""Chief Minister's Building and Other Construction Workers Housing (Rural) Scheme"" provides permanent houses to registered construction workers in rural areas of Madhya Pradesh.","['Construction', 'Financial Assistance', 'Housing', 'Labour', 'Worker']"
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Permanent Partial Disability,Bihar,"“Permanent Partial Disability” under the “Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana” launched by the Labour Resources Dept, Bihar, provides financial assistance of ₹37,500/- to the families of workers or craftsmen in case of permanent partial disablement.","['Craftsmen', 'Permanent Partial Disability', 'Social Security', 'Unorganised Worker']"
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Accidental Injuries,Bihar,"The component “Accidental Injuries” under the “Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana” launched by the Labour Resources Department, Bihar, provides financial assistance to the workers or craftsmen in case of accidental injuries.","['Accidental Injuries', 'Craftsmen', 'Medical Assistance', 'Social Security', 'Unorganised Worker']"
Chief Minister's Building and Other Construction Workers Urban Housing Scheme (MPBOCWWB),Madhya Pradesh,"The scheme was revised in 2018, the ""Chief Minister's Building and Other Construction Workers Urban Housing Scheme,"" to provide an additional ₹1,00,000 assistance to eligible construction workers in urban areas, along with grants from the Central and State Governments.","['Construction', 'Financial Assistance', 'Housing', 'Labour', 'Urban', 'Worker']"
Jharkhand Patrakar Samman Pension Niyamawali,Jharkhand,"The ""Jharkhand Patrakar Samman Pension Niyamawali"" aims to provide financial assistance to journalists who have served the state for an extended period. It ensures their well-being post-retirement and acknowledges their contribution to media and society.","['Financial Assistance', 'Journalist', 'Pension']"
Mukhyamantri Anusuchit Jaati Vishesh Pariyojana Vitt Poshan Yojana,Madhya Pradesh,"The scheme ""Mukhyamantri Anusuchit Jaati Vishesh Pariyojana Vitt Poshan Yojana"" under the Tribal Welfare and Scheduled Caste Department, Madhya Pradesh, aims to provide financial assistance for special project proposals received in the interest of the Scheduled Caste (SC) category.","['Assisted Enterprises', 'Development', 'Finance', 'Scheduled Caste']"
Housing Assistance (Madhya Pradesh),Madhya Pradesh,"The scheme ""Housing Assistance (Madhya Pradesh)"" by the Tribal Welfare and Scheduled Caste (SC) Department, Government of Madhya Pradesh, provides housing support to tribal boys and girls pursuing higher education outside their hometown, where hostels are not available.","['Higher Education', 'Hostel', 'Housing', 'Student']"
Jharkhand State Scheduled Tribe Post-Matric Scholarship Scheme,Jharkhand,"The ""Jharkhand State Scheduled Tribe Post-Matric Scholarship Scheme"" aims to promote higher education among scheduled tribe students in Jharkhand. The scheme provides financial assistance to students pursuing professional and academic courses at the post-matriculation level.","['Financial Assistance', 'Post-Matric', 'Scheduled Tribe', 'Scholarship']"
Junior Hostel (Scheduled Tribes),Madhya Pradesh,"Launched on 1st January 1966, the scheme ""Junior Hostel"" by the Tribal Welfare and Scheduled Caste (SC) Department, Government of Madhya Pradesh provides free accommodation and mess facilities to students studying in classes 6th to 8th.","['Education', 'Hostel', 'Scheduled Tribe', 'Student']"
Sant Ravi Das Swarojgaar Yojana,Madhya Pradesh,"The Sant Ravi Das Swarojgaar Yojana under the Tribal Welfare and SC Department, Madhya Pradesh, provides funding for manufacturing units (₹1 lakh to ₹50 lakh) and service/retail trade projects (₹1 lakh to ₹25 lakh) for Scheduled Caste applicants.","['Enterprises', 'Loan Scheme', 'Scheduled Cast', 'Self-employment']"
Jharkhand State Scheduled Caste Pre-Matric Scholarship Scheme,Jharkhand,"The ""Jharkhand State Scheduled Caste Pre-Matric Scholarship Scheme"" enhances the participation of Scheduled Caste students in pre-matric education and provides them with equal educational opportunities. The scheme aims to encourage students to continue their education and reduce dropout rates.......","['Financial Assistance', 'Pre-Matric', 'Scheduled Caste', 'Scholarship', 'Student']"
Aahar Anudan Yojana,Madhya Pradesh,"The scheme ""Aahar Anudan Yojana"" provides monthly assistance of ₹1,000 to students, girls, and women from backward tribes like Baiga, Bharia, and Saharia. The scheme aims to combat malnutrition among special tribal families by ensuring access to nutritious food through financial assistance.","['Child Care', 'Financial Assistance', 'Food', 'Meal', 'Nutrition', 'Women']"
Mukhyamantri Anusuchit Janjati Gram Vikas Yojana,Jharkhand,"The scheme ""Mukhyamantri Anusuchit Janjati Gram Vikas Yojana"" by the Welfare Department, Govt. of Jharkhand, aims to uplift Scheduled Tribe communities through education, health, & economic initiatives. Financial grants, equipment, & training programs are provided for holistic village development.","['Financial Assistance', 'Healthcare', 'Opportunity', 'SHGs', 'Training']"
Birsa Awas Nirman Yojana,Jharkhand,"The ""Birsa Awas Nirman Yojana"" by the Welfare Department, Government of Jharkhand, provides financial assistance in three installments for housing construction to Scheduled Tribes, along with a ₹500 incentive for monitoring agencies for timely completion.","['Financial Assistance', 'Housing', 'Rural Development']"
Kisan Suryoday Yojana (KSY),Gujarat,"""Kisan Suryoday Yojana (KSY)"" is a Gujarat government initiative launched in 2020-2021 to provide daytime electricity for agricultural activities, utilizing solar and non-conventional energy.","['Agricultural', 'Electricity Supply', 'Farmer', 'Irrigation', 'Renewable Energy']"
Madhya Pradesh Professional Talent Examination Award Scheme,Madhya Pradesh,"""M.P. Professional Talent Examination Award Scheme"" aims to recognize and reward backward-class students who excel in professional entrance examinations. Monetary awards are provided to backward-class students who secure the top three positions in entrance examinations like PET, PPT, and MCA.","['Award', 'Backward Class', 'Education', 'Examination', 'Student']"
Backward Class Students Meritorious Award Scheme,Madhya Pradesh,"""Backward Classes Student Merit Award Scheme"" aims to recognize and reward academic excellence among backward-class students. Monetary awards are provided to one boy and one girl student from backward classes who secure the highest marks at the district level in class 10th and 12th board exams.","['Award', 'Backward Class', 'Education', 'Examination', 'Meritorious', 'Student']"
Jharkhand Sportsperson Pension Scheme,Jharkhand,"The “Jharkhand Sportsperson Pension Scheme” aims to provide financial support to retired athletes for their lifelong contribution to sports. Athletes, including Arjuna, Dronacharya, and Dhyan Chand awardees, Olympic participants, and Commonwealth or Asian Games medalists, receive a monthly pension.","['Financial Assistance', 'Pension', 'Sportsperson']"
Construction of Godown for Grain Storage,Madhya Pradesh,"Launched on 24th December 2013, the scheme ""Construction of Warehouse for Grain Storage"" by the Panchayat and Rural Development Department, Government of Madhya Pradesh aims to provide modern and scientific food grain storage facilities under Food Security Act 13 to applicants in rural areas.","['Agriculture', 'Farmer', 'Food Security', 'Godown', 'Storage']"
Mukhyamantri Vas Sthal Kray Sahayata Yojana,Bihar,"This scheme provides financial assistance to landless beneficiaries for purchasing residential land, ensuring housing for the underprivileged in rural Bihar.","['Financial Assistance', 'Housing', 'Land Purchase', 'Rural Development']"
Scheme for Supply of Male Goat on Subsidy Basis,Madhya Pradesh,"""Male Goat Supply Scheme on Grant Basis"" aims to improve the breed of indigenous/local goats throughout the state. Through this scheme, one male goat of an improved breed (Jamnapari, Barbari, or Sirohi Bakra) is provided to goat farmers of all categories on a grant basis.","['Animal', 'Financial Assistance', 'Goat', 'Insurance', 'Subsidy']"
Advanced Animal Breeding Scheme (Supply of Breedable Pedigree Murrah Bull on Subsidy),Madhya Pradesh,"""Advanced Animal Breeding Scheme (Supply of Breedable Pedigree Murrah Bulls on Subsidy)"" aims to improve cattle breeding by supplying pedigreed breedable Murrah bulls to progressive cattle rearers and trained cow servants. Murrah bulls are provided with a 75% subsidy to animal keepers.","['Animal', 'Breed', 'Cow', 'Subsidy']"
Jharkhand State Scheduled Caste Pre-Matric Scholarship Scheme,Jharkhand,"The ""Jharkhand State Scheduled Caste Pre-Matric Scholarship Scheme"" enhances the participation of Scheduled Caste students in pre-matric education and provides them with equal educational opportunities. The scheme aims to encourage students to continue their education and reduce dropout rates.......","['Financial Assistance', 'Pre-Matric', 'Scheduled Caste', 'Scholarship', 'Student']"
Scheduled Tribe Relief Scheme,Madhya Pradesh,"Launched on 31st March 2017, the ""Scheduled Tribe Relief Scheme"" by the Tribal Welfare and Scheduled Caste Department, Government of Madhya Pradesh, provides immediate support for destitute tribal brides and assistance to disabled, elderly, blind, and impoverished individuals.","['Disability', 'Financial Assistance', 'Marriage', 'Scheduled Tribe']"
Haryana Pre Matric Scholarship For Minority,Haryana,"Launched in June 2006 under the Prime Minister's New 15 Point Programme for the Welfare of Minorities, the ""Pre-Matric Scholarship for Students Belonging to the Minority Communities"" is a Centrally Sponsored Scheme by the Ministry of Minority Affairs, Government of India.","['Admission Fees', 'Allowance', 'Education', 'Minority', 'Scholarship', 'Student', 'Tuition Fees']"
Kisan Samriddhi Yojana Jharkhand,Jharkhand,"The ""Kisan Samriddhi Yojana"" by the Department of Agriculture, Animal Husbandry & Cooperative, Government of Jharkhand, promotes solar-powered irrigation systems to reduce agricultural costs and dependency on fossil fuels. Farmers receive up to 90% subsidy for solar units under this initiative.","['Farmers', 'Self-help Group', 'Solar Units', 'Subsidy']"
National Agriculture Insurance Scheme,Ministry Of Agriculture and Farmers Welfare,"The National Agriculture Insurance Scheme (NAIS) was introduced by the Government of India to provide comprehensive insurance coverage and financial support to farmers against crop losses due to natural calamities, pests, and diseases.","['Agriculture Subsidy', 'Crop Insurance', 'Farmers', 'Natural Disaster Coverage']"
"Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Net SGST reimbursement to Micro, Small and Medium Manufacturing Enterprise (MSMEs):",Gujarat,"The ""Aatmanirbhar Gujarat Scheme for assistance to MSMEs"" aims to empower the state's dynamic MSME sector, which significantly contributes to employment, GDP, and exports.","['Business', 'Entrepreneurship', 'Interest Subsidy', 'MSMEs']"
"State Scholarship for Class 6th to 10th (Denotified, Nomadic and Semi-Nomadic )",Madhya Pradesh,"The ""State Scholarship for Classes 6th to 10th"" scheme provides an annual scholarship ranging from ₹200/- to ₹1,200/- (for 10 months) to the students belonging to De-notified, Nomadic, and Semi-Nomadic communities studying in classes 6th to 10th.","['Denotified', 'Education', 'Financial Assistance', 'Nomadic', 'Pre Matric', 'Scholarship', 'Student']"
Doodh Sanjivani Scheme,Gujarat,The scheme aims to enhance the nutritional health of children aged 6 months to 6 years and pregnant and lactating mothers by providing fortified flavored milk in Anganwadi centers across 20 districts in the state.,"['Child Nutrition', 'Nutritional Support', 'Pregnant Mothers', 'Tribal Welfare']"
Sanitary Pad Supply Scheme,Jharkhand,"The ""Sanitary Pad Supply Scheme"" by the Women, Child Development & Social Security Department, Government of Jharkhand, aims to promote hygiene and health among women and adolescent girls. It provides free sanitary pads quarterly to women aged 20–40 years through Anganwadi centers.","['Adolescent Girls', 'Health', 'Hygiene', 'Sanitary Pad', 'Women']"
Mukhyamantri Ati Pichhada Varg Udyami Yojana,Bihar,"This is a flagship scheme of the Bihar government aimed at promoting entrepreneurship and self-employment among the youth by providing financial assistance of up to ₹10,00,000/- for setting up businesses.","['Business', 'Entrepreneurship', 'Extremely Backward Class', 'Self Employment', 'Youth']"
Compensation Amount Towards Cattle Injury Caused by Forest Animals,Madhya Pradesh,"Launched on 6th February 2024, the scheme ""Compensation Amount towards Cattle Injury Caused by Forest Animals"" by the Forest Department, Government of Madhya Pradesh, provides compensation in case of death of cattle due to attacks by wild animals.","['Animal', 'Cattle', 'Compensation', 'Death', 'Financial Assistance', 'Forest', 'Injury']"
Nursing Kaushal College Jharkhand,Jharkhand,"The ""Nursing Skill College"" scheme provides skill-based nursing education and employment opportunities to young women, especially from disadvantaged backgrounds. The scheme offers free residential training, modern learning facilities, and placement support.","['Nursing Course', 'Placement', 'Training', 'Women']"
Female Child Birth Gift Scheme (HPBOCWWB),Himachal Pradesh,"The ""Female Child Birth Gift Scheme"" by the HPBOCWWB offers ₹51,000/- for each of two daughters of registered beneficiaries. The amount is deposited in a Fixed Deposit Receipt (FDR) and can be withdrawn once the daughter turns 18, ensuring long-term financial security.","['Building Worker', 'Construction Workers', 'Financial Support', 'Girl Child', 'Women']"
Admission in Post Matric Hostel,Madhya Pradesh,"The scheme was launched on 1st January1900, the scheme ""Admission in Post Matric Hostel"" by the Backward Classes and Minorities Welfare Department, Government of Madhya Pradesh, provides free accommodation to backward class students to support their education.","['Backward Classes', 'Education', 'Hostel', 'Student']"
Paddy Procurement Scheme Jharkhand,Jharkhand,"The ""Paddy Procurement Scheme"" 2012-13"" by the Food, Public Distribution, and Consumer Affairs Department, Government of Jharkhand, ensures that farmers receive minimum support price for paddy procurement, preventing distress sales and supporting food security.","['Fair Compensation', 'Farmers', 'Food Security']"
Kharmore Sonchidia Award Scheme,Madhya Pradesh,"In the scheme ""Kharmore Sonchidia Award"" by the Forest Department, Government of Madhya Pradesh, the farmers are rewarded with ₹5,000/- if a Kharmor bird is sighted in the private land of the farmer and ₹10,000/- if a Golden bird is sighted in the private land of the farmer.","['Award', 'Bird', 'Farmer', 'Financial Assistance']"
Rearing Pond Construction Scheme,Jharkhand,"The ""Rearing Pond Construction Scheme"" by the Department of Agriculture, Animal Husbandry, and Cooperation, Government of Jharkhand, aims to promote fish farming by providing financial aid for constructing rearing ponds. Beneficiaries receive up to 80% government assistance for Scheduled Castes (SC)","['Construction', 'Financial Assistance', 'Pond', 'Scheduled Castes', 'Scheduled Tribes']"
INDIRAMMA Disabled Pension (Rural),Andhra Pradesh,"""INDIRAMMA Disabled Pension (Rural)"" scheme aims to disburse monthly pensions to the individuals 18 years or above in age and having a disability of 40% or above. To be eligible, they should be from a BPL family, be a resident of the district, and not be covered under any other Pension Scheme.","['Below Poverty Line', 'BPL', 'Disability', 'Pension', 'Rural', 'Village']"
Haryana Gaurav Samman Scheme for Padma Awardees,Haryana,"The scheme seeks to honour the exceptional achievements of citizens of Haryana who have excelled in fields of sports, arts, literature, education, public affairs, social work, science, technology, medicine, industry and other domains of public life.","['Award', 'Financial Assistance', 'Gaurav', 'Padma Awardees', 'Samman']"
Financial Assistance to Widower and Unmarried Persons Scheme : For Widower,Haryana,The aim of the scheme is to provide Social Security to Widowers who are unable to sustain themselves from their own sources and are in need of financial assistance from the State.,"['Empowerment', 'Financial Assistance', 'Social Security', 'Widower']"
Pension Scheme to Disabled Persons (Divyangjan),Dadra & Nagar Haveli and Daman & Diu,The scheme is implemented by the Social Welfare Department to provide financial assistance to individuals with disabilities. The primary objective is to provide financial benefits to eligible Divyangjan to cater to their basic needs. The scheme is targeted at Divyangjan aged between 18 to 59 years.,"['Disability', 'Disabled Person', 'Divyang', 'Pension', 'PwD']"
Pashudhan Mitra Scheme,Chhattisgarh,"Launched on 20th June 2013, the scheme ""Pashudhan Mitra Scheme1"" by the Animal Husbandry Department, Govt of Chhattisgarh, aims to expand veterinary and breeding services, strengthen service delivery, and provide incentive honorariums to Pashudhan Mitras for livelihood support.","['Agriculture', 'Animal', 'Breeding', 'Cattle', 'Husbandry']"
Transgender Utthan Kosh – Identity Card for Transgender,Rajasthan,"This scheme aims to identify transgender persons and issuing identity cards to them. This certificate/identity card will be valid for all government purposes, including obtaining a ration card, Aadhaar card, birth certificate, etc.","['Citizen Empowerment', 'Identity Card', 'Transgender']"
Haryana Gaurav Samman Scheme for Padma Awardees,Haryana,"The scheme seeks to honour the exceptional achievements of citizens of Haryana who have excelled in fields of sports, arts, literature, education, public affairs, social work, science, technology, medicine, industry and other domains of public life.","['Award', 'Financial Assistance', 'Gaurav', 'Padma Awardees', 'Samman']"
Financial Assistance to Widower and Unmarried Persons Scheme : For Widower,Haryana,The aim of the scheme is to provide Social Security to Widowers who are unable to sustain themselves from their own sources and are in need of financial assistance from the State.,"['Empowerment', 'Financial Assistance', 'Social Security', 'Widower']"
Haryana State Merit Scholarship Scheme,Haryana,"The scheme aims to support meritorious students from economically backward sections in pursuing higher education. Under this scheme, financial assistance is provided to students pursuing Degree, Post-Graduate, and Doctorate courses.","['Doctorate Course', 'Merit', 'Post Graduation', 'Scholarship', 'Student', 'Under Graduation']"
Scheme for Relief and Rehabilitation of Women Acid Victims,Haryana,"Under the scheme, the acid attack victim is entitled to receive 100% free medical treatment from government or government-approved hospitals. Additionally, an ad-hoc relief of ₹1.00 lakh is provided to the acid attack victim, which is later reimbursed by the Women and Child Development Department.","['Acid Attack', 'Medical Treatment', 'Rehabilitation', 'Relief', 'Victims', 'Women']"
Mukhyamantri Vishesh Yogyajan Swaraozgar Yojana,Rajasthan,"The scheme aims to provide financial assistance to specially-abled individuals for self-employment. Under this scheme, a loan of ₹5,00,000/- will be provided to specially-abled individuals in the state whose annual family income does not exceed ₹2,00,000/-, enabling them to start their own business.","['Business', 'Financial Assistance', 'Loan', 'Person With Disability', 'Self-employment']"
Incentive Scheme For The Electricity Consumers Under Various Categories In Andaman & Nicobar Islands,Andaman and Nicobar Islands,"""Incentive Scheme For The Electricity Consumers Under Various Categories In Andaman & Nicobar Islands"" aims to reduce power consumption through demand side management and promote green energy adoption. The scheme offers monetary incentives to consumers who achieve at least 30% energy savings.","['Consumer', 'Electricity', 'Energy', 'Incentive']"
Reimbursement of Tution Fee for SC/ST/OBC/Min students in Public Schools in Class I to XII,Delhi,"The scheme aims to provide financial support by reimbursing tuition and compulsory fees for SC/ST/OBC students from low-income families (below ₹3,00,000/- per annum) studying in recognized schools in Delhi. Beneficiaries must meet academic and attendance criteria.","['Education', 'OBC', 'Other Backward Class', 'SC', 'Scheduled Caste', 'Scheduled Tribe', 'School', 'ST', 'Student']"
Interest Subvention Scheme,Karnataka,The scheme aims to provide institutional credit for capital investments at reasonable interest rates and is implemented through the Karnataka State Financial Corporation (KSFC) in the state.,"['Interest Subsidy', 'Loan', 'Micro Enterprises', 'Small Enterprises', 'Subvention']"
"Grant of Financial Incentives for Hotels, Resorts, and Tourism Projects",Puducherry,"The scheme aims to promote tourism infrastructure by providing financial incentives to hotels, resorts, heritage hotels, and other tourism projects. The scheme offers capital grants and subsidies to eligible applicants who have invested in and developed tourism-related projects.","['Heritage', 'Hotel', 'Incentive', 'Resort', 'Tourism']"
Wire Fencing Around the Farm for Crop Protection,Gujarat,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat. It aims to protect farmers' crops from damage caused by wild and stray animals by providing financial assistance for wire fencing around farms.","['Agriculture', 'Crop Protection', 'Farmer', 'Farmers Group', 'Wire Fencing']"
HSCST Fellowship Programme,Haryana,"In order to attract talented & meritorious students, HSCSIT is offering research fellowships in various fields of Science & Technology & Medical Sciences. The fellowships will involve full time research work leading to Ph.D. degree from any of the Institute/University in Haryana.","['Fellowship', 'JRF', 'Medical Sciences', 'NET', 'PhD', 'Research', 'Science & Technology']"
Reimbursement of Tution Fee for SC/ST/OBC/Min students in Public Schools in Class I to XII,Delhi,"The scheme aims to provide financial support by reimbursing tuition and compulsory fees for SC/ST/OBC students from low-income families (below ₹3,00,000/- per annum) studying in recognized schools in Delhi. Beneficiaries must meet academic and attendance criteria.","['Education', 'OBC', 'Other Backward Class', 'SC', 'Scheduled Caste', 'Scheduled Tribe', 'School', 'ST', 'Student']"
Incentive Scheme For The Electricity Consumers Under Various Categories In Andaman & Nicobar Islands,Andaman and Nicobar Islands,"""Incentive Scheme For The Electricity Consumers Under Various Categories In Andaman & Nicobar Islands"" aims to reduce power consumption through demand side management and promote green energy adoption. The scheme offers monetary incentives to consumers who achieve at least 30% energy savings.","['Consumer', 'Electricity', 'Energy', 'Incentive']"
Coconut Development Scheme,Gujarat,"The ""Coconut Development Scheme"" introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, aims to support farmers by providing quality coconut saplings and financial assistance for coconut cultivation.","['Agriculture', 'Coconut Saplings Distribution', 'Farmer']"
Foreign Education Scheme,Gujarat,"The ""Foreign Education Scheme"" provides financial assistance for non-reserved category students pursuing higher education abroad after Standard 12.","['Foreign Study Loan', 'Higher Education', 'Student']"
"Financial Assistance for the Treatment of Blind, Disabled, Deaf, Dumb, or Mentally Challenged Ex-Servicemen and their Dependents (Wife and Children)",Rajasthan,"The scheme aims to provide monthly financial assistance for the treatment of ex-servicemen and their dependents (wife & children) who have a disability of 40% or more and are suffering from serious illnesses such as cancer, leprosy, tuberculosis, kidney and cardiac ailments, paralysis, etc.","['Ex-Servicemen', 'Financial Assistance', 'Illness', 'Medical Treatment', 'Person With Disability', 'PwD']"
Incentive to Owners of A.I. Born Female Calf through Pure Breeding in Indigenous Cow Across the State,Gujarat,The scheme aims to support livestock owners in maintaining and increasing the population of indigenous cattle breeds like Gir and Kankrej.,"['Animal Husbandry', 'Artificial Insemination', 'Female Calf Breeding']"
World War II Pension,Rajasthan,"The aim of the scheme is to provide lifelong financial assistance of ₹15,000/- per month as a measure of relief to World War II ex-servicemen and their widows who are not receiving any pension or financial assistance from any other source.","['Ex-servicemen', 'Pension', 'Sainik', 'Widow', 'World War']"
Group Insurance Scheme for Powerloom Weavers,Ministry Of Textiles,"The basic objective of this scheme is to provide insurance cover to the powerloom weavers in the case of natural death, accidental death as well as partial and permanent disability due to accident.","['Educational Grant', 'Insurance', 'LIC', 'Powerloom Weavers']"
Kishore Vaigyanik Protsahan Yojana,Ministry Of Science And Technology,"The KVPY is a national fellowship program in basic sciences, initiated and funded by the Department of Science and Technology to attract exceptionally motivated students to pursue basic science courses and a research career in science.","['Fellowship', 'Research', 'Science', 'Scientist', 'Student']"
Mukhyamantri Alpasankhyak Medhwi Balika Protsahan Yojana,Uttarakhand,The scheme aims to provide financial incentives to meritorious girl students belonging to minority communities based on their performance in the High School Examination or its equivalent (Munshi/Maulvi) and Intermediate Examination or its equivalent (Alim).,"['Education', 'Girl Student', 'Incentive', 'Meritorious Student', 'Minority Community']"
Bhed Palan Yojana,Uttarakhand,"The scheme aims to promote sheep rearing as a source of self-employment and livelihood generation for eligible beneficiaries, particularly from SECC categories, by providing financial support for rearing a sheep unit.","['Scheduled Caste', 'Scheduled Tribe', 'Self-employment', 'Sheep', 'Sheep Rearing', 'Subsidy']"
Bakri Palan Yojana,Uttarakhand,"The scheme aims to promote goat rearing as a source of self-employment and livelihood generation for eligible beneficiaries, particularly from SECC categories, by providing financial support for rearing a goat unit.","['Goat Rearing', 'Scheduled Caste', 'Scheduled Tribe', 'SECC', 'Self-Employment', 'Subsidy']"
Compensation in Animal Death,Gujarat,"The ""Compensation in Animal Death"" scheme introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, provides financial assistance to animal breeders who suffer livestock losses due to natural disasters, diseases, or poisoning.","['Animal Husbandry', 'Animal Insurance', 'Death Compensation']"
