name,description,tags,combined_text
Integrated Sheep Development Scheme,ISDS was launched in the year 2020-21 by the J&K Govt. to promote income generation through the establishment of sheep & goat units. This scheme is innovative & self-sustaining as fresh units shall be established in a continuous cyclic manner from the retrieved livestock of previous beneficiaries.,"['Animal Husbandry', 'Livestock']",integrated sheep development scheme isds was launched in the year 202021 by the jk govt to promote income generation through the establishment of sheep goat units this scheme is innovative selfsustaining as fresh units shall be established in a continuous cyclic manner from the retrieved livestock of previous beneficiaries animal husbandry livestock
Educational Assistance To Children Of Prisoners,"The scheme “Educational Assistance to Children of Prisoners” was launched by the Department of Social Justice, Government of Kerala.","['BPL', 'Children', 'Education', 'Prisoner', 'Scholarship', 'Student']",educational assistance to children of prisoners the scheme educational assistance to children of prisoners was launched by the department of social justice government of kerala bpl children education prisoner scholarship student
Dayanand Bandodkar Scheme For Higher Education For Orphans,"""Dayanand Bandodkar Scheme for Higher Education for Orphans"" supports the educational needs of orphan children who are deprived of higher education for want of financial resources. The Scheme envisages taking care of such children from their Undergraduate Course to the Post Graduate Course.","['Fee Waiver', 'Higher Education', 'Orphan', 'Scholarship']",dayanand bandodkar scheme for higher education for orphans dayanand bandodkar scheme for higher education for orphans supports the educational needs of orphan children who are deprived of higher education for want of financial resources the scheme envisages taking care of such children from their undergraduate course to the post graduate course fee waiver higher education orphan scholarship
AICTE - Research Promotion Scheme (RPS),"The scheme ""AICTE - Research Promotion Scheme (RPS)"" was introduced by the All India Council for Technical Education (AICTE), Department of Higher Education (DoHE) in order to promote research in identified thrust areas of technical education. The maximum limit of funding is ₹ 25,00,000.",['Research'],aicte research promotion scheme rps the scheme aicte research promotion scheme rps was introduced by the all india council for technical education aicte department of higher education dohe in order to promote research in identified thrust areas of technical education the maximum limit of funding is 2500000 research
Safai Karmakar Prasuti Sahayata Yojana,"Chhattisgarh State Government started a scheme ""Safai Karmakar Prasuti Sahayata Yojana"" for unorganized worker on 11 March 2015.","['Financial Assistance', 'Heath', 'Maternity Assistance']",safai karmakar prasuti sahayata yojana chhattisgarh state government started a scheme safai karmakar prasuti sahayata yojana for unorganized worker on 11 march 2015 financial assistance heath maternity assistance
Delhi Arogya Nidhi,Delhi Arogya Nidhi (DAN) is a scheme to provide financial assistance upto ₹1.5 lacs to needy patients who have National Food Security Cards for the treatment of diseases in Government hospitals only.,"['Arogya', 'Health', 'Nidhi', 'Patient', 'Treatment']",delhi arogya nidhi delhi arogya nidhi dan is a scheme to provide financial assistance upto 15 lacs to needy patients who have national food security cards for the treatment of diseases in government hospitals only arogya health nidhi patient treatment
Swarnajayanti Fellowships Scheme,"Under this scheme, a selected number of young scientists, with proven track record, are provided special assistance and support to enable them to pursue basic research in frontier areas of science and technology.","['Fellowship', 'PhD', 'Research', 'Swarnajayanti', 'Young Scientist']",swarnajayanti fellowships scheme under this scheme a selected number of young scientists with proven track record are provided special assistance and support to enable them to pursue basic research in frontier areas of science and technology fellowship phd research swarnajayanti young scientist
Incubation Scheme,Incubation Scheme aims to promote and support untapped creativity and to promote adoption of latest technologies in MSMEs that seek the validation of their ideas at the proof-of-concept level.,"['Business & Entreurprneurship', 'Capital Support', 'Financial Support', 'Plant And Machinery']",incubation scheme incubation scheme aims to promote and support untapped creativity and to promote adoption of latest technologies in msmes that seek the validation of their ideas at the proofofconcept level business entreurprneurship capital support financial support plant and machinery
ARAVANAIPPU,"""ARAVANAIPPU"", a scheme by the Dept of Women and Child Development, Govt of Puducherry aims to improve the status of the girl child and provide nutritious food; financial assistance of ₹1200 is offered to lactating mothers. The girl child of the applicant should be born after 1-4-2005.","['Child', 'Financial Assistance', 'Girl', 'Mother', 'Nutrition']",aravanaippu aravanaippu a scheme by the dept of women and child development govt of puducherry aims to improve the status of the girl child and provide nutritious food financial assistance of 1200 is offered to lactating mothers the girl child of the applicant should be born after 142005 child financial assistance girl mother nutrition
National Bamboo Mission,Restructured National Bamboo Mission was launched during 2018-19 as a Centrally Sponsored Scheme (CSS) after the historical amendment of the Indian Forest Act during 2017 to exclude bamboo out from definition of tree.,"['Bamboo Marketing', 'Bamboo Plantation', 'Product Development', 'Quality Planting Material']",national bamboo mission restructured national bamboo mission was launched during 201819 as a centrally sponsored scheme css after the historical amendment of the indian forest act during 2017 to exclude bamboo out from definition of tree bamboo marketing bamboo plantation product development quality planting material
Reimbursement of membership Fee in Government promoted E-Commerce Portals,Reimbursement of Membership fee of Government promoted e-commerce portals Scheme is a sub scheme under National Scheduled Caste and Scheduled Tribe Hub (NSSH) scheme.,"['Business', 'Entrepreneurship', 'Financial Assistance']",reimbursement of membership fee in government promoted ecommerce portals reimbursement of membership fee of government promoted ecommerce portals scheme is a sub scheme under national scheduled caste and scheduled tribe hub nssh scheme business entrepreneurship financial assistance
Pradhan Mantri Gram Sadak Yojana,"With the objective of providing rural connectivity, the Government of India launched the Pradhan Mantri Gram Sadak Yojana (referred to as PMGSY-I hereinafter) on 25th December 2000 to provide all-weather access to eligible unconnected habitations.","['Road', 'Rural']",pradhan mantri gram sadak yojana with the objective of providing rural connectivity the government of india launched the pradhan mantri gram sadak yojana referred to as pmgsyi hereinafter on 25th december 2000 to provide allweather access to eligible unconnected habitations road rural
Revival and Rehabilitation Scheme for Defunct MSMEs and Cashew Processing Units,"The scheme ""Revival and Rehabilitation Scheme for Defunct MSMEs and Cashew Processing Units"" envisages supporting defunct MSMEs in the manufacturing sector including cashew processing units through assistance in the form of capital grants and working capital incentives.","['Cashew Unit', 'Defunct MSME', 'Entrepreneur', 'Financial Assistance', 'Rehabilitation', 'Revival']",revival and rehabilitation scheme for defunct msmes and cashew processing units the scheme revival and rehabilitation scheme for defunct msmes and cashew processing units envisages supporting defunct msmes in the manufacturing sector including cashew processing units through assistance in the form of capital grants and working capital incentives cashew unit defunct msme entrepreneur financial assistance rehabilitation revival
Pre-Matric Scholarships to the Children of Those Engaged in Occupations Involving Cleaning and Prone to Health Hazards,"The objective of the scheme is to provide financial assistance to children whose parents/guardians belong to one of the following categories, to pursue Pre-Matric education: Tanners, Flayers, Waste Pickers and Persons who are either presently engaged in Manual Scavenging.","['Education', 'Pre-Matric', 'Scholarship', 'School', 'Student']",prematric scholarships to the children of those engaged in occupations involving cleaning and prone to health hazards the objective of the scheme is to provide financial assistance to children whose parentsguardians belong to one of the following categories to pursue prematric education tanners flayers waste pickers and persons who are either presently engaged in manual scavenging education prematric scholarship school student
Financial Assistance for Purchase of Fuel (Petrol) to the Fishermen for Operation of Out Board Motors,"The scheme “Financial Assistance for Purchase of Fuel (Petrol) to the Fishermen for Operation of Out Board Motors” is a scheme by the Department of Fisheries, Government of Goa. Through this scheme, a subsidy of ₹30 per Litre on a maximum consumption of 1700 Litre of Petrol is provided to fishermen.","['Financial Assistance', 'Fish', 'Fishermen', 'Petrol', 'Subsidy']",financial assistance for purchase of fuel petrol to the fishermen for operation of out board motors the scheme financial assistance for purchase of fuel petrol to the fishermen for operation of out board motors is a scheme by the department of fisheries government of goa through this scheme a subsidy of 30 per litre on a maximum consumption of 1700 litre of petrol is provided to fishermen financial assistance fish fishermen petrol subsidy
Financial Assistance to Purchase Outboard Motor of 2HP to 5 HP for Fitting to the Fishing Canoe,"“Financial Assistance to Purchase Outboard Motor of 2HP to 5 HP for Fitting to the Fishing Canoe” is a scheme by the Department of Fisheries, Government of Goa. This Scheme has been introduced to grant financial assistance in the form of a subsidy on the purchase of an outboard motor of 2HP to 5HP.","['Financial Assistance', 'Fish', 'Fishermen', 'Subsidy']",financial assistance to purchase outboard motor of 2hp to 5 hp for fitting to the fishing canoe financial assistance to purchase outboard motor of 2hp to 5 hp for fitting to the fishing canoe is a scheme by the department of fisheries government of goa this scheme has been introduced to grant financial assistance in the form of a subsidy on the purchase of an outboard motor of 2hp to 5hp financial assistance fish fishermen subsidy
Scheme to Provide Financial Assistance to the Publishers for Publishing Books of Goan Authors,"""Scheme to Provide Financial Assistance to the Publishers for Publishing Books of Goan Authors""  by the Directorate of Art and Culture, Government of Goa, has been designed to promote Goan publishers to provide them with financial support for the publication of books.","['Book', 'Culture', 'Financial Assistance', 'Publish']",scheme to provide financial assistance to the publishers for publishing books of goan authors scheme to provide financial assistance to the publishers for publishing books of goan authors by the directorate of art and culture government of goa has been designed to promote goan publishers to provide them with financial support for the publication of books book culture financial assistance publish
Promotion of Energy Audit and Conservation of Energy (PEACE): Training Programme,"""Promotion of Energy Audit and Conservation of Energy (PEACE): Training Programme"" is introduced to enable MSMEs to establish the systems and processes necessary to improve energy performance, and energy efficiency, and help reduce energy consumption and costs.","['Audit', 'Business', 'Energy', 'MSME', 'Training']",promotion of energy audit and conservation of energy peace training programme promotion of energy audit and conservation of energy peace training programme is introduced to enable msmes to establish the systems and processes necessary to improve energy performance and energy efficiency and help reduce energy consumption and costs audit business energy msme training
Grant of Incentive to the Family having One Girl/Two Girl Children and Parents who have undergone Family Planning,"This scheme aims to create awareness among parents about the desirability of the girl child and elevate the status of the girl child in the family. The scheme provides an amount of ₹30,000/- deposited in the name of the girl child, and in the case of two girl children, ₹15,000/- is deposited.","['Child', 'Family', 'Financial Assistance', 'Girl', 'Grant', 'Incentive']",grant of incentive to the family having one girltwo girl children and parents who have undergone family planning this scheme aims to create awareness among parents about the desirability of the girl child and elevate the status of the girl child in the family the scheme provides an amount of 30000 deposited in the name of the girl child and in the case of two girl children 15000 is deposited child family financial assistance girl grant incentive
Central Sector Scheme of National Fellowship for Providing Fellowship to Scheduled Caste Students to Pursue M.Phil. & PhD,"The scheme provides opportunities to Scheduled Castes students to pursue higher education leading to M.Phil/Ph.D degrees in Sciences, Humanities and Social Science streams. The objective of the scheme is to provide fellowships in the form of financial assistance to SC students.","['Fellowship', 'PhD', 'Research', 'Scheduled Caste', 'Social Justice']",central sector scheme of national fellowship for providing fellowship to scheduled caste students to pursue mphil phd the scheme provides opportunities to scheduled castes students to pursue higher education leading to mphilphd degrees in sciences humanities and social science streams the objective of the scheme is to provide fellowships in the form of financial assistance to sc students fellowship phd research scheduled caste social justice
Indian Community Welfare Fund,"A scheme by Ministry of External Affairs (MEA) for the welfare of Overseas Indians; assisting them in distress situations. ICWF has also been a critical support in emergency evacuation of Indian nationals from conflict zones, countries affected by natural disasters and other challenging situations.","['Artist', 'Disability', 'Legal Assistance', 'Medical Assistance', 'Non Resident Indian', 'Overseas Indian', 'PwD', 'Shelter', 'Student', 'Welfare']",indian community welfare fund a scheme by ministry of external affairs mea for the welfare of overseas indians assisting them in distress situations icwf has also been a critical support in emergency evacuation of indian nationals from conflict zones countries affected by natural disasters and other challenging situations artist disability legal assistance medical assistance non resident indian overseas indian pwd shelter student welfare
Saansad Adarsh Gram Yojana,"Saansad Adarsh Gram Yojana aims to translate the comprehensive vision of Mahatma Gandhi about an ideal Indian village into reality, keeping in view the present context. Each Member of Parliament adopts a Gram Panchayat and guides its holistic progress giving importance to social development.",['Rural Development'],saansad adarsh gram yojana saansad adarsh gram yojana aims to translate the comprehensive vision of mahatma gandhi about an ideal indian village into reality keeping in view the present context each member of parliament adopts a gram panchayat and guides its holistic progress giving importance to social development rural development
Tagore National Fellowship for Cultural Research,"The Scheme has been introduced to invigorate and revitalize the various institutions under the Ministry of Culture and other identified cultural institutions in the country, by encouraging Fellows/academicians to affiliate themselves with these institutions to work on projects of mutual interest.","['Cultural', 'Fellow', 'Fellowship', 'Research', 'Tagore']",tagore national fellowship for cultural research the scheme has been introduced to invigorate and revitalize the various institutions under the ministry of culture and other identified cultural institutions in the country by encouraging fellowsacademicians to affiliate themselves with these institutions to work on projects of mutual interest cultural fellow fellowship research tagore
Fellowship For Superannuated Faculty Members,"The ""Fellowship for Superannuated Faculty Members"" scheme is a fellowship scheme by the University Grants Commission (UGC), Department of Higher Education to provide opportunities to superannuated faculty members of Universities/Institutes/Colleges, hereinafter “Institutions” to pursue research.","['Faculty', 'Fellowship']",fellowship for superannuated faculty members the fellowship for superannuated faculty members scheme is a fellowship scheme by the university grants commission ugc department of higher education to provide opportunities to superannuated faculty members of universitiesinstitutescolleges hereinafter institutions to pursue research faculty fellowship
Indo-French Visiting/Mobility Programme for Women in Science,This programme will encourage women candidates to work with the Indian/French scientific communities with an aim to accelerate their talented instincts towards carrying out advanced studies and research in the frontier areas of Science & Technology.,"['France', 'French', 'Mobility', 'Researcher', 'Science', 'Scientist', 'Woman']",indofrench visitingmobility programme for women in science this programme will encourage women candidates to work with the indianfrench scientific communities with an aim to accelerate their talented instincts towards carrying out advanced studies and research in the frontier areas of science technology france french mobility researcher science scientist woman
VAIshwik BHArtiya Vaigyanik (VAIBHAV) Fellowship,"VAIBHAV Fellowship envisages collaboration between scientists of Indian Diaspora with
Indian Higher Educational Institutions/Universities/Public Funded Scientific
Institutions. Fellow would identify an Indian Institution for collaboration &
may spend upto two months in a year for a max. of 3 years.","['Fellow', 'Fellowship', 'Research', 'Science', 'VAIBHAV']",vaishwik bhartiya vaigyanik vaibhav fellowship vaibhav fellowship envisages collaboration between scientists of indian diaspora with indian higher educational institutionsuniversitiespublic funded scientific institutions fellow would identify an indian institution for collaboration may spend upto two months in a year for a max of 3 years fellow fellowship research science vaibhav
"AICTE-IDEA (Idea Development, Evaluation & Application) LAB SCHEME","Through Idea Lab Scheme, AICTE will be setting up Idea Labs in AICTE approved institutions to encourage students for application of science, technology engineering and mathematics (STEM) fundamentals towards enhanced hands-on experience, learning by doing and even product visualization.","['Engineering College And University', 'Financial Support', 'Infrastructure', 'Lab']",aicteidea idea development evaluation application lab scheme through idea lab scheme aicte will be setting up idea labs in aicte approved institutions to encourage students for application of science technology engineering and mathematics stem fundamentals towards enhanced handson experience learning by doing and even product visualization engineering college and university financial support infrastructure lab
Financial Assistance on Death/Disablement of Beneficiary (CBOCWWB),"Under this scheme, financial assistance will be provided to registered construction workers with full or 50% disability due to an accident. The financial assistance will also be provided to the widowed dependents of registered male construction workers for any reason of death.","['Construction Worker', 'Death', 'Disablement', 'Financial Assistance', 'Labour', 'Widow']",financial assistance on deathdisablement of beneficiary cbocwwb under this scheme financial assistance will be provided to registered construction workers with full or 50 disability due to an accident the financial assistance will also be provided to the widowed dependents of registered male construction workers for any reason of death construction worker death disablement financial assistance labour widow
"MMKY-Financial Assistance for New Boat, Engine, and Net","The State plan scheme “MMKY-Financial Assistance for New Boat, Engine, and Net” was launched by the Fisheries & Animal Resources Development Department, Government of Odisha in order to increase the marine fish production and to enhance incomes and livelihoods of the marine fishers.","['Boat', 'Engine', 'Financial Assistance', 'Fish', 'Fisherman', 'Maschyajibi', 'Net']",mmkyfinancial assistance for new boat engine and net the state plan scheme mmkyfinancial assistance for new boat engine and net was launched by the fisheries animal resources development department government of odisha in order to increase the marine fish production and to enhance incomes and livelihoods of the marine fishers boat engine financial assistance fish fisherman maschyajibi net
Balika Samrithi Yojana,"“Balika Samrithi Yojana” by the Dept of Women & Child Development, Govt of Pondicherry was introduced to improve the status of the girl child and provide nutritious food to the girl child. Financial assistance of ₹500 in the form of a National Savings Certificate is provided to lactating mothers.","['Child', 'Financial Assistance', 'Girl', 'Mother', 'Women']",balika samrithi yojana balika samrithi yojana by the dept of women child development govt of pondicherry was introduced to improve the status of the girl child and provide nutritious food to the girl child financial assistance of 500 in the form of a national savings certificate is provided to lactating mothers child financial assistance girl mother women
AICTE-Margdarshan scheme,Margdarshan Initiative has been introduced by All India Council for Technical Education in 2018 for facilitating the technical institutes in order to improve the quality of technical education as a whole through accreditation by providing access to the facilities available in host institute.,"['Grant-in-aid', 'Mentee Beneficiary Institutes', 'Mentor Institute', 'Technical Education']",aictemargdarshan scheme margdarshan initiative has been introduced by all india council for technical education in 2018 for facilitating the technical institutes in order to improve the quality of technical education as a whole through accreditation by providing access to the facilities available in host institute grantinaid mentee beneficiary institutes mentor institute technical education
Mahila Samman Savings Certificate,"The scheme “Mahila Samman Savings Certificate” was launched by the Department of Economic Affairs, Ministry of Finance to provide financial security to every girl and woman in India.","['Girl', 'Investment', 'Mahila', 'Saving', 'Woman']",mahila samman savings certificate the scheme mahila samman savings certificate was launched by the department of economic affairs ministry of finance to provide financial security to every girl and woman in india girl investment mahila saving woman
Death Benefit (A.B.O.C.W.W.B),"Under this scheme, financial assistance shall be given to the nominees/dependents of a registered worker towards death benefit, in case of normal death or due to an accident during the course of employment.","['Building Worker', 'Construction Worker', 'Death', 'Financial Assistance', 'Labour']",death benefit abocwwb under this scheme financial assistance shall be given to the nomineesdependents of a registered worker towards death benefit in case of normal death or due to an accident during the course of employment building worker construction worker death financial assistance labour
Vegetable Development Scheme,"The objective of the scheme is to promote vegetable production through HYV Seeds/ Hybrids/ Improved/ Open Pollinated seedlings, including assistance to farmers.","['Agriculture', 'Farmer', 'Poly House', 'Subsidy', 'Vegetable Production', 'Vegetable Seed']",vegetable development scheme the objective of the scheme is to promote vegetable production through hyv seeds hybrids improved open pollinated seedlings including assistance to farmers agriculture farmer poly house subsidy vegetable production vegetable seed
Free Distribution of Blankets and Chappals to Senior Citizen,"The scheme “Free Distribution of Blankets and Chappals to Senior Citizen"" was launched by the Dept of Social Welfare, Govt of Puducherry. The objective of this scheme is to enable the poor senior citizens, aged 60 years and above and residing in Puducherry, to receive blankets and chappals.","['Clothes', 'Senior Citizen', 'Social Welfare']",free distribution of blankets and chappals to senior citizen the scheme free distribution of blankets and chappals to senior citizen was launched by the dept of social welfare govt of puducherry the objective of this scheme is to enable the poor senior citizens aged 60 years and above and residing in puducherry to receive blankets and chappals clothes senior citizen social welfare
Cash Award (A.B.O.C.W.W.B),"Cash awards shall be given to the three male & three female children of the registered construction workers in each district to those students who score 75% or above, 65% or less than 75%, and 55% or less than 65% mark in HSLC, AHM and H.S. examinations.","['Building Worker', 'Cash Award', 'Construction Worker', 'Labour', 'Student']",cash award abocwwb cash awards shall be given to the three male three female children of the registered construction workers in each district to those students who score 75 or above 65 or less than 75 and 55 or less than 65 mark in hslc ahm and hs examinations building worker cash award construction worker labour student
Swami Vivekananda Nishakta Swavlamban Protsahan Yojana,"“Swami Vivekananda Nishakta Swavlamban Protsahan Yojana ” is a Social Security Scheme by the Department of Women, Child Development & Social Security, Government of Jharkhand. The aim of the scheme is to provide social security to differently abled people aged five(5) years and above.","['Differently Abled', 'Direct Benefit Transfer', 'Pension', 'Social Empowerment']",swami vivekananda nishakta swavlamban protsahan yojana swami vivekananda nishakta swavlamban protsahan yojana is a social security scheme by the department of women child development social security government of jharkhand the aim of the scheme is to provide social security to differently abled people aged five5 years and above differently abled direct benefit transfer pension social empowerment
State Award for the Welfare of the Handicapped,"“State Award for the Welfare of the Handicapped” was launched by the Dept of Social Welfare, Govt of Puducherry. The individuals and institutions are conferred awards on 3rd December every year to encourage them to become economically productive to serve the cause of the Persons with Disability.","['Award', 'Disability', 'Employee', 'Employer', 'PwD', 'Social Welfare']",state award for the welfare of the handicapped state award for the welfare of the handicapped was launched by the dept of social welfare govt of puducherry the individuals and institutions are conferred awards on 3rd december every year to encourage them to become economically productive to serve the cause of the persons with disability award disability employee employer pwd social welfare
Horticulture Mission for North Eastern Hill Scheme- Meghalaya,"The objective of the scheme is to improve productivity, quality planting material, canopy management of fruit trees, support marginal and small farmers, upscaling protected cultivation, and drip irrigation.","['Farmer', 'Horticulture', 'Integrated Development', 'Mission', 'North Eastern Hill']",horticulture mission for north eastern hill scheme meghalaya the objective of the scheme is to improve productivity quality planting material canopy management of fruit trees support marginal and small farmers upscaling protected cultivation and drip irrigation farmer horticulture integrated development mission north eastern hill
Supply of Sarees and Dhoties to Differently Abled Persons,"In this scheme, free dhothies and sarees or equivalent Direct Benefit Transfer are provided to the differently abled persons who are benefited under the monthly financial assistance schemes in lieu of Diwali / Pongal / local regional festivals.","['Clothes', 'Disability', 'PwD', 'Social Welfare']",supply of sarees and dhoties to differently abled persons in this scheme free dhothies and sarees or equivalent direct benefit transfer are provided to the differently abled persons who are benefited under the monthly financial assistance schemes in lieu of diwali pongal local regional festivals clothes disability pwd social welfare
Post Harvest Marketing Scheme,"The “Post Harvest Marketing Scheme” was launched by the Department of Agriculture & Farmers’ Welfare, Government of Meghalaya for the creation of post harvest marketing infrastructure.","['Co-Operative Societies', 'Farmer', 'FIG', 'FPO', 'Horticulture', 'Infrastructure', 'Marketing', 'Post Harvest', 'SHG Farmers']",post harvest marketing scheme the post harvest marketing scheme was launched by the department of agriculture farmers welfare government of meghalaya for the creation of post harvest marketing infrastructure cooperative societies farmer fig fpo horticulture infrastructure marketing post harvest shg farmers
Supply of Prosthetic Appliances to Differently Abled Persons,"The scheme “Supply of Prosthetic Appliances to Differently Abled Persons” was launched by the Department of Social Welfare, Government of Puducherry. In this scheme, prosthetic appliances are supplied to differently-abled persons free of cost to minimize the mobility challenges experienced by them.","['Appliance', 'Disability', 'Prosthetic', 'PwD']",supply of prosthetic appliances to differently abled persons the scheme supply of prosthetic appliances to differently abled persons was launched by the department of social welfare government of puducherry in this scheme prosthetic appliances are supplied to differentlyabled persons free of cost to minimize the mobility challenges experienced by them appliance disability prosthetic pwd
Regional Centre for Training and Production of Mushroom,The objective of the scheme is to train farmers in the method of mushroom cultivation and to supply quality spawn and pasteurized compost to farmers.,"['Agriculture', 'Farmer', 'Financial Assistance', 'Mushroom Production', 'Training']",regional centre for training and production of mushroom the objective of the scheme is to train farmers in the method of mushroom cultivation and to supply quality spawn and pasteurized compost to farmers agriculture farmer financial assistance mushroom production training
Agriculture Research Stations and Laboratories Scheme,The objective of the scheme is to conduct adaptive research trials on different crops in the Research Farms and in Farmers' Field for adaptability and use of bio pesticides/bio agents.,"['Agriculture', 'Bio Agent', 'Bio Pesticide', 'Farmer', 'Laboratory', 'Research Station']",agriculture research stations and laboratories scheme the objective of the scheme is to conduct adaptive research trials on different crops in the research farms and in farmers field for adaptability and use of bio pesticidesbio agents agriculture bio agent bio pesticide farmer laboratory research station
Bhausaheb Fundkar Falbag Lagvad Scheme,"This scheme includes, Plantation of sixteen perennial horticulture crops. Farmer from Konkan division can avail benefit of 0.10 Hector  to 10.00 Hector  and rest Of Maharashtra 0.20 Hector  to 6.00 Hector","['Direct Benefit Transfer', 'Farmer', 'General', 'Horticulture', 'Plantation']",bhausaheb fundkar falbag lagvad scheme this scheme includes plantation of sixteen perennial horticulture crops farmer from konkan division can avail benefit of 010 hector to 1000 hector and rest of maharashtra 020 hector to 600 hector direct benefit transfer farmer general horticulture plantation
Scheme for Reimbursement of Educational Expenses to Hearing Impaired Students Pursuing Special Higher Education Courses Inside or Outside the Union Territory of Puducherry,"This scheme was introduced by the  Dept of Social Welfare, Govt of Puducherry to provide financial assistance to Hearing Impaired and Visually Impaired students for pursuing their special higher studies. Through this scheme, the reimbursement of the entire fee is granted from the first year onwards.","['College', 'Disability', 'Fees', 'Financial Asisstance', 'Reimbursement', 'Student']",scheme for reimbursement of educational expenses to hearing impaired students pursuing special higher education courses inside or outside the union territory of puducherry this scheme was introduced by the dept of social welfare govt of puducherry to provide financial assistance to hearing impaired and visually impaired students for pursuing their special higher studies through this scheme the reimbursement of the entire fee is granted from the first year onwards college disability fees financial asisstance reimbursement student
Cash Award to the Meritorious Visually Impaired Students Obtaining First Three Ranks at the State Level in the SSLC and HSC Examination,"The objective of this scheme is to award cash prizes to meritorious differently-abled persons (visually challenged students) who are studying in government and private schools of Puducherry and secure first, second and third rank concerning total marks in the SSLC and HSC exams.","['Award', 'Disability', 'Education', 'School', 'Student']",cash award to the meritorious visually impaired students obtaining first three ranks at the state level in the sslc and hsc examination the objective of this scheme is to award cash prizes to meritorious differentlyabled persons visually challenged students who are studying in government and private schools of puducherry and secure first second and third rank concerning total marks in the sslc and hsc exams award disability education school student
"""Monthly Grant To Old Crafts Persons (Pension)"" Component of the ""Development of Handicrafts"" Scheme","""Monthly Grant To Old Crafts Persons (Pension)” by the Department of Industries and Commerce, Union Territory of Puducherry, aims to provide pensions to artisans in their old age, recognizing their contribution to traditional crafts. Eligible craftspersons receive a monthly grant of ₹2,000/-.","['Death', 'Handicraft', 'Pension', 'Senior Citizen']",monthly grant to old crafts persons pension component of the development of handicrafts scheme monthly grant to old crafts persons pension by the department of industries and commerce union territory of puducherry aims to provide pensions to artisans in their old age recognizing their contribution to traditional crafts eligible craftspersons receive a monthly grant of 2000 death handicraft pension senior citizen
Organic Manure Scheme,The objective of the scheme is to provide hands on training at the village level on production of organic compost inputs such as compost for plant health management for sustainable agriculture.,"['Agriculture', 'Farmer', 'Organic Manure', 'Training']",organic manure scheme the objective of the scheme is to provide hands on training at the village level on production of organic compost inputs such as compost for plant health management for sustainable agriculture agriculture farmer organic manure training
"“Training in Coir” Component of the ""Development of Coir"" Scheme","The scheme “Training in Coir” by the Dept of Industries and Commerce, UT of Puducherry aims to promote and develop Coir and Coir-based industries in the region. Additionally, it focuses on providing a 6-month training to the rural poor in producing coir products to generate employment.","['Coir', 'Employment', 'Poor', 'Rural', 'Skill', 'Training']",training in coir component of the development of coir scheme the scheme training in coir by the dept of industries and commerce ut of puducherry aims to promote and develop coir and coirbased industries in the region additionally it focuses on providing a 6month training to the rural poor in producing coir products to generate employment coir employment poor rural skill training
Agriculture Information Unit Scheme,"The key objective is to disseminate information on Scientific methods of cultivation to extension staff and farming community through media such as pamphlets, leaflets, radio, television etc. and participating/holding awareness programs by means of exhibitions, seminars etc.","['Agriculture', 'Booklets', 'Farmer', 'Information Unit', 'Leaflets']",agriculture information unit scheme the key objective is to disseminate information on scientific methods of cultivation to extension staff and farming community through media such as pamphlets leaflets radio television etc and participatingholding awareness programs by means of exhibitions seminars etc agriculture booklets farmer information unit leaflets
National Award For Senior Citizens (Vayoshreshtha Samman): Best District Panchayat In Providing Services And Facilities To Senior Citizens,"The ""Vayoshreshtha Samman: Best District Panchayat in Providing Services and Facilities to Senior Citizens"" award shall be given to the district Panchayats, which have done outstanding work for senior citizens. The awards are conferred on 1st October every year by the Hon’ble President of India.","['Award', 'Institution', 'Panchayat', 'Senior Citizen', 'Social Welfare']",national award for senior citizens vayoshreshtha samman best district panchayat in providing services and facilities to senior citizens the vayoshreshtha samman best district panchayat in providing services and facilities to senior citizens award shall be given to the district panchayats which have done outstanding work for senior citizens the awards are conferred on 1st october every year by the honble president of india award institution panchayat senior citizen social welfare
"'Organizing/ Participation in Exhibitions /Trade Fairs /Expo /Seminars /Investors Meets, etc' under 'Marketing And Publicity'","Through this scheme, Promotion Campaigns, Exhibitions, Trade Fairs, Investors Meets, Seminars etc., are arranged in important towns/cities of India and abroad, to attract industries to invest in Puducherry. This will help them in increasing the marketability of these products.","['Campaign', 'Exhibition', 'Handicraft', 'Honorarium', 'Investment', 'Marketing']",organizing participation in exhibitions trade fairs expo seminars investors meets etc under marketing and publicity through this scheme promotion campaigns exhibitions trade fairs investors meets seminars etc are arranged in important townscities of india and abroad to attract industries to invest in puducherry this will help them in increasing the marketability of these products campaign exhibition handicraft honorarium investment marketing
"""Entrepreneurship Development Programme"" Component of the ""Development of Coir"" Scheme","The scheme aims to provide Entrepreneurship training, to encourage prospective entrepreneurs to start the coir industry. Awareness programmes will also be arranged for the existing coir industries about the modern technology and scheme, and incentives available under the State Grant.","['Awareness', 'Coir', 'Entrepreneur', 'Industry', 'Skill', 'Training']",entrepreneurship development programme component of the development of coir scheme the scheme aims to provide entrepreneurship training to encourage prospective entrepreneurs to start the coir industry awareness programmes will also be arranged for the existing coir industries about the modern technology and scheme and incentives available under the state grant awareness coir entrepreneur industry skill training
